Starting price: $10.00
On Day 174$124.83
On Day 175$125.96
On Day 176$120.94
On Day 177$119.97
On Day 178$118.48
On Day 179$117.65
On Day 180$126.60
On Day 181$135.04
On Day 182$132.33
On Day 183$129.66
On Day 184$130.51
On Day 185$125.02
On Day 186$122.33
On Day 187$125.90
On Day 188$124.73
On Day 189$133.66
On Day 190$142.56
On Day 191$136.80
On Day 192$143.75
On Day 193$155.87
On Day 194$165.47
On Day 195$164.09
On Day 196$173.24
On Day 197$166.87
On Day 198$160.17
On Day 199$171.25
On Day 200$163.10
On Day 201$155.40
On Day 202$170.63
On Day 203$165.83
On Day 204$159.29
On Day 205$172.39
On Day 206$187.90
On Day 207$199.64
On Day 208$197.63
On Day 209$206.48
On Day 210$200.72
On Day 211$210.28
On Day 212$224.82
On Day 213$237.91
On Day 214$255.35
On Day 215$251.63
On Day 216$248.20
On Day 217$242.09
On Day 218$230.98
On Day 219$228.53
On Day 220$217.83
On Day 221$213.30
On Day 222$206.87
On Day 223$224.81
On Day 224$242.53
On Day 225$234.16
On Day 226$241.51
On Day 227$258.73
On Day 228$253.49
On Day 229$270.97
On Day 230$289.46
On Day 231$286.21
On Day 232$306.64
On Day 233$319.83
On Day 234$310.28
On Day 235$300.84
On Day 236$301.66
On Day 237$317.49
On Day 238$304.60
On Day 239$308.95
On Day 240$302.15
On Day 241$289.09
On Day 242$304.32
On Day 243$318.46
On Day 244$328.68
On Day 245$352.05
On Day 246$337.26
On Day 247$352.18
On Day 248$374.24
On Day 249$396.98
On Day 250$401.14
On Day 251$398.26
On Day 252$405.14
On Day 253$433.49
On Day 254$468.77
On Day 255$500.25
On Day 256$476.11
On Day 257$521.24
On Day 258$499.74
On Day 259$507.54
On Day 260$482.42
On Day 261$492.43
On Day 262$521.07
On Day 263$555.67
On Day 264$532.92
On Day 265$527.32
On Day 266$556.18
On Day 267$552.18
On Day 268$559.97
On Day 269$549.52
On Day 270$548.65
On Day 271$595.36
On Day 272$599.52
On Day 273$580.19
On Day 274$566.57
On Day 275$550.62
On Day 276$563.11
On Day 277$535.90
On Day 278$538.10
On Day 279$534.33
On Day 280$523.18
On Day 281$501.44
On Day 282$477.00
On Day 283$455.73
On Day 284$489.29
On Day 285$528.16
On Day 286$539.44
On Day 287$529.27
On Day 288$514.53
On Day 289$507.38
On Day 290$558.07
On Day 291$548.65
On Day 292$571.56
On Day 293$601.50
On Day 294$660.57
On Day 295$657.22
On Day 296$629.15
On Day 297$680.61
On Day 298$695.54
On Day 299$668.16
On Day 300$677.29
On Day 301$711.44
On Day 302$771.56
On Day 303$842.12
On Day 304$820.53
On Day 305$896.39
On Day 306$878.88
On Day 307$914.49
On Day 308$873.62
On Day 309$841.50
On Day 310$822.51
On Day 311$798.67
On Day 312$800.29
On Day 313$786.94
On Day 314$759.03
On Day 315$759.86
On Day 316$737.72
On Day 317$790.17
On Day 318$769.13
On Day 319$791.58
On Day 320$865.96
On Day 321$883.24
On Day 322$906.80
On Day 323$955.55
On Day 324$981.46
On Day 325$984.65
On Day 326$1,081.54
